insumo,categoria,unidad_base,alias
WANTAN,ABARROTES,kg,( INSUMO ) WANTAN UNIDAD
WANTAN,ABARROTES,kg,WANTAN UNIDAD
WYPALL,DESCARTABLES,und,( INSUMO ) WYPALL UNIDAD
WYPALL,DESCARTABLES,und,WYPALL UNIDAD
YUCA,VERDURAS,kg,( INSUMO ) YUCA KILOS
YUCA,VERDURAS,kg,YUCA KILOS
YUYO,PESCADOS Y MARISCOS,kg,( INSUMO ) YUYO KILOS
YUYO,PESCADOS Y MARISCOS,kg,YUYO KILOS
ZANAHORIA,VERDURAS,kg,( INSUMO ) ZANAHORIA GRAMOS
ZANAHORIA,VERDURAS,kg,( INSUMO ) ZANAHORIA KILOS
ZANAHORIA,VERDURAS,kg,ZANAHORIA GRAMOS
ZANAHORIA,VERDURAS,kg,ZANAHORIA KILOS
ZAPALLO LOCHE,VERDURAS,kg,( INSUMO ) ZAPALLO LOCHE KILOS
ZAPALLO LOCHE,VERDURAS,kg,( INSUMO ) ZAPALLO LOCHE UNIDAD
ZAPALLO LOCHE,VERDURAS,kg,ZAPALLO LOCHE KILOS
ZAPALLO LOCHE,VERDURAS,kg,ZAPALLO LOCHE UNIDAD
ACEITE CRISOL X20 LT,ABARROTES,und,ACEITE CRISOL X20 LT
ACEITE DE AJONJOLI,ABARROTES,L,ACEITE DE AJONJOLI
ACEITE DE OLIVA,ABARROTES,L,ACEITE DE OLIVA
ACEITE VEGETAL 900ML,ABARROTES,L,ACEITE VEGETAL 900ML
ACEITUNA,ABARROTES,kg,ACEITUNA
AGUA,BAR,L,AGUA
AGUA TONICA,BAR,und,AGUA TONICA
AJI AMARILLO,VERDURAS,kg,AJI AMARILLO
AJI LIMO,VERDURAS,kg,AJI LIMO
AJI MIRASOL,VERDURAS,kg,AJI MIRASOL
AJI PANCA,VERDURAS,kg,AJI PANCA
AJICERO 02 ONZAS,DESCARTABLES,und,AJICERO 02 ONZAS
AJINOMOTO,ABARROTES,kg,AJINOMOTO
AJO,VERDURAS,kg,AJO
AJONJO BLANCO,ABARROTES,kg,AJONJO BLANCO
ALCOHOL 70%,OPERATIVO,und,ALCOHOL 70%
ALMEJA DOCENA,PESCADOS Y MARISCOS,und,ALMEJA DOCENA
ALVERJA,VERDURAS,kg,ALVERJA
ALVERJA PARTIDA,COMIDA DEL PERSONAL,kg,ALVERJA PARTIDA
AMBIENTADOR,PRODUCTOS DE LIMPIEZA,und,AMBIENTADOR
ANIS ESTRELLA,BAR,und,ANIS ESTRELLA
ANTIDERRAPANTE AMARILLO,OPERATIVO,und,ANTIDERRAPANTE AMARILLO
APIO,VERDURAS,kg,APIO
ARROZ PARA EL PERSONAL,COMIDA DEL PERSONAL,kg,ARROZ PARA EL PERSONAL
ARROZ VALENTINA X 50KG,ABARROTES,kg,ARROZ VALENTINA X 50KG
ATUN,COMIDA DEL PERSONAL,und,ATUN
AZUCAR BLANCA SACO,BAR,kg,AZUCAR BLANCA SACO
AZUCAR ESPLENDA,BAR,und,AZUCAR ESPLENDA
AZUCAR RUBIA SACO,BAR,kg,AZUCAR RUBIA SACO
BALON DE GAS DE 45KG,GAS,und,BALON DE GAS DE 45KG
BARRACUDA,PESCADOS Y MARISCOS,kg,BARRACUDA
BEBIDA CARBONADA EVERVESS 1.5 LT,BAR,und,BEBIDA CARBONADA EVERVESS 1.5 LT
BIDON 80 LT,GASTOS ADMINISTRATIVOS,und,BIDON 80 LT
BISMUTOL,BOTIQUIN,und,BISMUTOL
BOLSA BLANCA 21X24,DESCARTABLES,und,BOLSA BLANCA 21X24
BOLSA CON ASA 19X20,DESCARTABLES,und,BOLSA CON ASA 19X20
BOLSA NEGRA X140LT,DESCARTABLES,und,BOLSA NEGRA X140LT
BOLSAS 14X20,DESCARTABLES,und,BOLSAS 14X20
BONITO ENTERO,PESCADOS Y MARISCOS,und,BONITO ENTERO
BONITO FILETE,PESCADOS Y MARISCOS,kg,BONITO FILETE
BROCHA,MANTENIMIENTO,und,BROCHA
BROCOLI,VERDURAS,kg,BROCOLI
CABELLO DE ANGEL,COMIDA DEL PERSONAL,und,CABELLO DE ANGEL
CABRILLA,PESCADOS Y MARISCOS,kg,CABRILLA
CAFE,BAR,kg,CAFE
CAJA DE LAPICERO,UTILES DE OFICINA,und,CAJA DE LAPICERO
CAJA DE PANQUITA,ABARROTES,und,CAJA DE PANQUITA
CALAMAR,PESCADOS Y MARISCOS,kg,CALAMAR
CAMOTE,VERDURAS,kg,CAMOTE
CANELA,BAR,kg,CANELA
CANGREJO,PESCADOS Y MARISCOS,und,CANGREJO
CARNE HUACHALOMO,CARNE,kg,CARNE HUACHALOMO
CARNE MOLIDA,COMIDA DEL PERSONAL,und,CARNE MOLIDA
CARNE PICADA,COMIDA DEL PERSONAL,kg,CARNE PICADA
CEBOLLA CHINA,VERDURAS,kg,CEBOLLA CHINA
CEBOLLA CHINA ATADO,VERDURAS,kg,CEBOLLA CHINA ATADO
CEBOLLA ROJA,VERDURAS,kg,CEBOLLA ROJA
CERA PARA PISO,PRODUCTOS DE LIMPIEZA,und,CERA PARA PISO
CHARELLA FILETE,PESCADOS Y MARISCOS,kg,CHARELLA FILETE
CHICHA DE JORA,ABARROTES,L,CHICHA DE JORA
CHOCLO,VERDURAS,kg,CHOCLO
CHOROS GRANDES DOCENA,PESCADOS Y MARISCOS,und,CHOROS GRANDES DOCENA
CHOROS PEQUEÑOS DOCENA,PESCADOS Y MARISCOS,und,CHOROS PEQUEÑOS DOCENA
CHULETA,COMIDA DEL PERSONAL,kg,CHULETA
CINTA ADHESIVA,UTILES DE OFICINA,und,CINTA ADHESIVA
COCA COLA 600ML,BAR,und,COCA COLA 600ML
COCA COLA ZERO 500 ML,BAR,und,COCA COLA ZERO 500 ML
CONCHAS DE ABANICO,PESCADOS Y MARISCOS,kg,CONCHAS DE ABANICO
CONCHAS NEGRAS,PESCADOS Y MARISCOS,und,CONCHAS NEGRAS
CORAL DE ABANICO DOCENA,PESCADOS Y MARISCOS,kg,CORAL DE ABANICO DOCENA
CUCHARA,DESCARTABLES,und,CUCHARA
CUCHILLA DE CABEZAL DE 80MM,MANTENIMIENTO,und,CUCHILLA DE CABEZAL DE 80MM
CULANTRO,VERDURAS,kg,CULANTRO
CULANTRO ATADO,VERDURAS,kg,CULANTRO ATADO
CUSQUEÑA NEGRA 620 ML CAJA,BAR,und,CUSQUEÑA NEGRA 620 ML CAJA
CUSQUEÑA TRIGO 620 ML CAJA,BAR,und,CUSQUEÑA TRIGO 620 ML CAJA
DETERGENTE,PRODUCTOS DE LIMPIEZA,kg,DETERGENTE
DOLOCHEK PLUS 400MGF,BOTIQUIN,und,DOLOCHEK PLUS 400MGF
DONCELLA,PESCADOS Y MARISCOS,kg,DONCELLA
EMOLIENTE,COMIDA DEL PERSONAL,und,EMOLIENTE
ENCENDEDOR CHISPA CH,MENAJERIA,und,ENCENDEDOR CHISPA CH
ENSALADA RUSA,COMIDA DEL PERSONAL,und,ENSALADA RUSA
ERIZO,PESCADOS Y MARISCOS,kg,ERIZO
ESCOBILLA DE ROPA,PRODUCTOS DE LIMPIEZA,und,ESCOBILLA DE ROPA
ESPADA FILETE,PESCADOS Y MARISCOS,kg,ESPADA FILETE
ESPONJA DE FIERRO,MANTENIMIENTO,und,ESPONJA DE FIERRO
ESPONJAS,PRODUCTOS DE LIMPIEZA,und,ESPONJAS
FANTA,ABARROTES,und,FANTA
FIDEO CHINO,VERDURAS,kg,FIDEO CHINO
FIDEO FANSI,VERDURAS,kg,FIDEO FANSI
FILETE PESCADO,PESCADOS Y MARISCOS,kg,FILETE PESCADO
FILM DE ALIMENTOS,DESCARTABLES,und,FILM DE ALIMENTOS
FINDALER 10MG,BOTIQUIN,und,FINDALER 10MG
FOCO,MENAJERIA,und,FOCO
FOLDER,UTILES DE OFICINA,und,FOLDER
FREJOL CANARIO,COMIDA DEL PERSONAL,kg,FREJOL CANARIO
FREJOL CHINO,VERDURAS,kg,FREJOL CHINO
FREJOL NEGRO,COMIDA DEL PERSONAL,kg,FREJOL NEGRO
GALLETA SODA,ABARROTES,und,GALLETA SODA
GAS 10 KG,GAS,und,GAS 10 KG
GASEOSA FANTA X 2.25 LT,ABARROTES,und,GASEOSA FANTA X 2.25 LT
GASEOSA SPRITE C2.25 LT,OPERATIVO,und,GASEOSA SPRITE C2.25 LT
GUANTES,DESCARTABLES,und,GUANTES
GUANTES CAJA,DESCARTABLES,und,GUANTES CAJA
HAMBURGUESA,COMIDA DEL PERSONAL,und,HAMBURGUESA
HARINA DE TRIGO,ABARROTES,kg,HARINA DE TRIGO
HIERBA BUENA,BAR,und,HIERBA BUENA
HIERBA LUISA,VERDURAS,kg,HIERBA LUISA
HIERBA LUISA ATADO,VERDURAS,kg,HIERBA LUISA ATADO
HIGADO,COMIDA DEL PERSONAL,kg,HIGADO
HOJAS BOND,UTILES DE OFICINA,und,HOJAS BOND
HOT DOG SUIZA,COMIDA DEL PERSONAL,und,HOT DOG SUIZA
HUEVERA,PESCADOS Y MARISCOS,kg,HUEVERA
HUEVO,ABARROTES,und,HUEVO
INCA KOLA 600 ML,BAR,und,INCA KOLA 600 ML
INCA KOLA ZERO 500ML,BAR,und,INCA KOLA ZERO 500ML
JABON LIQUIDO X GALON,PRODUCTOS DE LIMPIEZA,und,JABON LIQUIDO X GALON
JABÓN LIQUIDO,PRODUCTOS DE LIMPIEZA,L,JABÓN LIQUIDO
JALADOR,PRODUCTOS DE LIMPIEZA,und,JALADOR
JAMAICA,COMIDA DEL PERSONAL,kg,JAMAICA
JAMON,COMIDA DEL PERSONAL,und,JAMON
KION,ABARROTES,kg,KION
LANGOSTINO,PESCADOS Y MARISCOS,kg,LANGOSTINO
LAUREL,ABARROTES,und,LAUREL
LECHE ENTERA 946 ML,ABARROTES,und,LECHE ENTERA 946 ML
LECHE EVAPORADA TARRO,ABARROTES,mL,LECHE EVAPORADA TARRO
LECHUGA,VERDURAS,und,LECHUGA
LEJIA,PRODUCTOS DE LIMPIEZA,L,LEJIA
LEJIA BIDON,PRODUCTOS DE LIMPIEZA,L,LEJIA BIDON
LENTEJA,COMIDA DEL PERSONAL,kg,LENTEJA
LIJA,PRODUCTOS DE LIMPIEZA,und,LIJA
LIMON,VERDURAS,kg,LIMON
LIMPIATODO,PRODUCTOS DE LIMPIEZA,und,LIMPIATODO
LOMO FINO,CARNE,kg,LOMO FINO
MAICENA,ABARROTES,kg,MAICENA
MAIZ MORADO,BAR,kg,MAIZ MORADO
MAIZ PARA SALON,ABARROTES,kg,MAIZ PARA SALON
MANTEQUILLA GLORIA,ABARROTES,kg,MANTEQUILLA GLORIA
MANTEQUILLA SIN SAL,ABARROTES,kg,MANTEQUILLA SIN SAL
MANZANA DE AGUA,BAR,kg,MANZANA DE AGUA
MARACUYA,BAR,kg,MARACUYA
MAYONESA ALACENA X 1.9 KG CAJA,ABARROTES,und,MAYONESA ALACENA X 1.9 KG CAJA
MEMBRILLO,BAR,kg,MEMBRILLO
MICAS,UTILES DE OFICINA,und,MICAS
MILANESA DE POLLO,COMIDA DEL PERSONAL,kg,MILANESA DE POLLO
MIXTURA DE MARISCOS PREMIUM CONGELADO,PESCADOS Y MARISCOS,kg,MIXTURA DE MARISCOS PREMIUM CONGELADO
NARANJA,BAR,kg,NARANJA
NAVAJAS DOCENA,PESCADOS Y MARISCOS,und,NAVAJAS DOCENA
OLLUCO,VERDURAS,kg,OLLUCO
OREGANO,ABARROTES,kg,OREGANO
PALTA,VERDURAS,kg,PALTA
PAN CIABATTA,ABARROTES,und,PAN CIABATTA
PAN FRANCES,ABARROTES,und,PAN FRANCES
PANAFEBRIL1G,BOTIQUIN,und,PANAFEBRIL1G
PANQUITA GRANDE,ABARROTES,und,PANQUITA GRANDE
PAPA AMARILLA,VERDURAS,kg,PAPA AMARILLA
PAPA BLANCA,VERDURAS,kg,PAPA BLANCA
PAPA PERUANITA,VERDURAS,kg,PAPA PERUANITA
PAPAYA,BAR,kg,PAPAYA
PAPEL CONTOM TERMICO 80X80MM POX5 M,UTILES DE OFICINA,und,PAPEL CONTOM TERMICO 80X80MM POX5 M
PAPEL CONTOMETRO,UTILES DE OFICINA,und,PAPEL CONTOMETRO
PAPEL HIGIENICO,SERVICIOS HIGIENICOS,und,PAPEL HIGIENICO
PAPEL TOALLA,SERVICIOS HIGIENICOS,und,PAPEL TOALLA
PASTILLAS PARA EL BOTIQUIN,BOTIQUIN,und,PASTILLAS PARA EL BOTIQUIN
PAÑO ABSORVENTE,DESCARTABLES,und,PAÑO ABSORVENTE
PAÑOS AMARILLOS,DESCARTABLES,und,PAÑOS AMARILLOS
PAÑOS SECADORES,PRODUCTOS DE LIMPIEZA,und,PAÑOS SECADORES
PECHUGA DE POLLO,POLLO,kg,PECHUGA DE POLLO
PEJERREY,PESCADOS Y MARISCOS,kg,PEJERREY
PEREJIL,VERDURAS,kg,PEREJIL
PESCADO AGUJA,PESCADOS Y MARISCOS,kg,PESCADO AGUJA
PESCADO CEVICHE,PESCADOS Y MARISCOS,kg,PESCADO CEVICHE
PILAS PANASONIC AAA/1 5V,UTILES DE OFICINA,und,PILAS PANASONIC AAA/1 5V
PILSEN 305 ML CAJA,BAR,und,PILSEN 305 ML CAJA
PILSEN CALLAO 630 ML CAJA,BAR,und,PILSEN CALLAO 630 ML CAJA
PIMIENTA,ABARROTES,kg,PIMIENTA
PIMIENTO,VERDURAS,kg,PIMIENTO
PINTURA,MANTENIMIENTO,und,PINTURA
PIÑA GOLDEN,BAR,kg,PIÑA GOLDEN
PLANCHA DE SERVILLETA,DESCARTABLES,und,PLANCHA DE SERVILLETA
PLATANO,COMIDA DEL PERSONAL,und,PLATANO
PLATANO BELLACO,COMIDA DEL PERSONAL,und,PLATANO BELLACO
POLLO,COMIDA DEL PERSONAL,und,POLLO
POLLO ENTERO,COMIDA DEL PERSONAL,und,POLLO ENTERO
POMAROLA,ABARROTES,und,POMAROLA
POTA BLANCA,PESCADOS Y MARISCOS,kg,POTA BLANCA
POTA NEGRA,PESCADOS Y MARISCOS,kg,POTA NEGRA
PULPA DE CANGREJO,PESCADOS Y MARISCOS,kg,PULPA DE CANGREJO
PULPA DE MARACUYA,BAR,kg,PULPA DE MARACUYA
PULPO,PESCADOS Y MARISCOS,kg,PULPO
QUESO,ABARROTES,kg,QUESO
QUESO PARMESANO,ABARROTES,kg,QUESO PARMESANO
ROCOTO,VERDURAS,kg,ROCOTO
RODILLO 9,MANTENIMIENTO,und,RODILLO 9
ROLLO 5X10,DESCARTABLES,und,ROLLO 5X10
ROMERO,VERDURAS,und,ROMERO
ROTULADORES 8X3,DESCARTABLES,und,ROTULADORES 8X3
SAL,ABARROTES,kg,SAL
SALSA INGLESA,ABARROTES,und,SALSA INGLESA
SELLO,GASTOS ADMINISTRATIVOS,und,SELLO
SILLAO,ABARROTES,L,SILLAO
SORBETES ECOLOGICO X 100 UND,DESCARTABLES,und,SORBETES ECOLOGICO X 100 UND
SPAGUETTI,ABARROTES,kg,SPAGUETTI
SPAGUETTI DV,ABARROTES,und,SPAGUETTI DV
STICKERS PARA ROTULAR,UTILES DE OFICINA,und,STICKERS PARA ROTULAR
TACHO SUPER REY 210 LT C/TAPA REY,GASTOS ADMINISTRATIVOS,und,TACHO SUPER REY 210 LT C/TAPA REY
TAPER DE CARTON C/T PLASTICO 1300ML,DESCARTABLES,und,TAPER DE CARTON C/T PLASTICO 1300ML
TAPER DELY 1L,DESCARTABLES,und,TAPER DELY 1L
TAPER DELY PAMOLSA DE 1KL X 200,DESCARTABLES,und,TAPER DELY PAMOLSA DE 1KL X 200
TENEDOR,DESCARTABLES,und,TENEDOR
THINNER Y WAYPER,MANTENIMIENTO,und,THINNER Y WAYPER
TOCA CAJA,DESCARTABLES,und,TOCA CAJA
TOMATE,VERDURAS,kg,TOMATE
TRAPEADOR,PRODUCTOS DE LIMPIEZA,und,TRAPEADOR
TRIGO,COMIDA DEL PERSONAL,kg,TRIGO
UTILES DE OFICINA,UTILES DE OFICINA,und,UTILES DE OFICINA
VAINITAS,COMIDA DEL PERSONAL,und,VAINITAS
VASO LEXINGTON LONG DRINK,MENAJERIA,und,VASO LEXINGTON LONG DRINK
VENDITAS UTILINE,BOTIQUIN,und,VENDITAS UTILINE
VINAGRE BLANCO,ABARROTES,L,VINAGRE BLANCO
VINIL,UTILES DE OFICINA,und,VINIL
VINO BLANCO,ABARROTES,L,VINO BLANCO
VONGOLE,PESCADOS Y MARISCOS,kg,VONGOLE
WANTAN,ABARROTES,kg,WANTAN
WYPALL,DESCARTABLES,und,WYPALL
YUCA,VERDURAS,kg,YUCA
YUYO,PESCADOS Y MARISCOS,kg,YUYO
ZANAHORIA,VERDURAS,kg,ZANAHORIA
ZAPALLO LOCHE,VERDURAS,kg,ZAPALLO LOCHE
